,name,numberOfDims,cpuCompatability,frequency,EccCompatability,wattage(watts),ModelNumber,memory_type,dim_slot_type
1384,Team T-FORCE VULCAN Z 32 GB,4,amd,18,True,6.14,1384,ddr5,DIMM
1385,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1385,ddr5,DIMM
1386,G.Skill Trident Z Royal 256 GB,2,intel,16,False,6.14,1386,ddr5,DIMM
1387,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1387,ddr4,DIMM
1388,Corsair Vengeance LPX 32 GB,2,intel,16,False,6.14,1388,ddr5,DIMM
1389,G.Skill Ripjaws Series 8 GB,2,intel,9,False,6.14,1389,ddr5,DIMM
1390,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1390,ddr5,DIMM
1391,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1391,ddr4,DIMM
1392,Patriot Viper Steel 8 GB,2,intel,16,False,6.14,1392,ddr5,DIMM
1393,Crucial Ballistix RGB 32 GB,2,intel,16,False,6.14,1393,ddr5,DIMM
1394,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1394,ddr4,DIMM
1395,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1395,ddr4,DIMM
1396,Gigabyte AORUS RGB 16 GB,4,amd,18,True,3.06,1396,ddr4,DIMM
1397,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1397,ddr4,DIMM
1398,Corsair Vengeance RGB Pro SL 16 GB,4,amd,18,True,3.06,1398,ddr4,DIMM
1399,G.Skill Trident Z Neo 32 GB,4,amd,18,True,6.14,1399,ddr5,DIMM
1400,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1400,ddr4,DIMM
1401,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1401,ddr4,DIMM
1402,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1402,ddr4,DIMM
1403,G.Skill Trident Z RGB 16 GB,4,amd,18,True,3.06,1403,ddr4,DIMM
1404,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1404,ddr5,DIMM
1405,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1405,ddr4,DIMM
1406,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1406,ddr4,DIMM
1407,G.Skill Ripjaws V Series 32 GB,2,intel,16,False,6.14,1407,ddr5,DIMM
1408,G.Skill Trident Z Neo 32 GB,2,intel,16,False,6.14,1408,ddr5,DIMM
1409,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1409,ddr4,DIMM
1410,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1410,ddr5,DIMM
1411,G.Skill Ripjaws V 16 GB,2,intel,16,False,3.06,1411,ddr4,DIMM
1412,Corsair Vengeance LPX 128 GB,4,amd,19,True,6.14,1412,ddr5,DIMM
1413,Corsair Vengeance LPX 16 GB,4,amd,18,True,3.06,1413,ddr4,DIMM
1414,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1414,ddr4,DIMM
1415,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1415,ddr5,DIMM
1416,G.Skill Aegis 16 GB,2,intel,16,False,3.06,1416,ddr4,DIMM
1417,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1417,ddr4,DIMM
1418,Corsair Vengeance LPX 32 GB,4,amd,18,True,6.14,1418,ddr5,DIMM
1419,G.Skill Trident Z RGB 128 GB,4,amd,18,True,6.14,1419,ddr5,DIMM
1420,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1420,ddr4,DIMM
1421,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1421,ddr4,DIMM
1422,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1422,ddr5,DIMM
1423,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1423,ddr4,DIMM
1424,G.Skill Aegis 8 GB,2,intel,16,False,3.06,1424,ddr4,DIMM
1425,G.Skill Trident Z Neo 16 GB,2,intel,16,False,3.06,1425,ddr4,DIMM
1426,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1426,ddr5,DIMM
1427,Corsair Vengeance LPX 8 GB,2,intel,16,False,6.14,1427,ddr5,DIMM
1428,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1428,ddr4,DIMM
1429,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1429,ddr4,DIMM
1430,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1430,ddr4,DIMM
1431,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1431,ddr4,DIMM
1432,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1432,ddr5,DIMM
1433,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1433,ddr4,DIMM
1434,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1434,ddr4,DIMM
1435,Kingston HyperX Fury 8 GB,2,intel,16,False,3.06,1435,ddr4,DIMM
1436,Corsair Vengeance RGB Pro 64 GB,2,intel,16,False,6.14,1436,ddr5,DIMM
1437,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,1437,ddr4,DIMM
1438,ADATA XPG SPECTRIX D60G 16 GB,2,intel,16,False,3.06,1438,ddr4,DIMM
1439,G.Skill Trident Z Royal 32 GB,4,amd,19,True,6.14,1439,ddr5,DIMM
1440,OLOy MD4U083016BGDA 16 GB,2,intel,16,False,3.06,1440,ddr4,DIMM
1441,G.Skill Ripjaws V 16 GB,4,amd,18,True,3.06,1441,ddr4,DIMM
1442,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1442,ddr4,DIMM
1443,OLOy MD4U083216BJDA 16 GB,2,intel,16,False,3.06,1443,ddr4,DIMM
1444,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1444,ddr4,DIMM
1445,G.Skill Trident Z Neo 64 GB,2,intel,16,False,6.14,1445,ddr5,DIMM
1446,G.Skill Ripjaws V 32 GB,2,intel,16,False,6.14,1446,ddr5,DIMM
1447,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1447,ddr4,DIMM
1448,Kingston HyperX Fury RGB 16 GB,2,intel,16,False,3.06,1448,ddr4,DIMM
1449,Silicon Power XPOWER Turbine 16 GB,2,intel,16,False,3.06,1449,ddr4,DIMM
1450,Crucial Ballistix MAX 16 GB,4,amd,19,True,3.06,1450,ddr4,DIMM
1451,G.Skill Trident Z RGB 64 GB,4,amd,18,True,6.14,1451,ddr5,DIMM
1452,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1452,ddr5,DIMM
1453,Corsair Vengeance 16 GB,2,intel,9,False,3.06,1453,ddr4,DIMM
1454,Patriot Viper Steel 16 GB,4,amd,19,True,3.06,1454,ddr4,DIMM
1455,G.Skill Trident Z Royal 128 GB,4,amd,18,True,6.14,1455,ddr5,DIMM
1456,G.Skill Trident Z RGB 32 GB,2,intel,16,False,3.06,1456,ddr4,DIMM
1457,Silicon Power SP016GXLZU320BDAJ5 16 GB,2,intel,16,False,3.06,1457,ddr4,DIMM
1458,Corsair Vengeance LPX 8 GB,2,intel,16,False,3.06,1458,ddr4,DIMM
1459,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1459,ddr4,DIMM
1460,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1460,ddr4,DIMM
1461,Crucial Ballistix 64 GB,2,intel,16,False,6.14,1461,ddr5,DIMM
1462,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1462,ddr4,DIMM
1463,Team T-Force Delta RGB 32 GB,2,intel,16,False,6.14,1463,ddr5,DIMM
1464,Corsair Dominator Platinum RGB 32 GB,4,amd,18,True,3.06,1464,ddr4,DIMM
1465,G.Skill Trident Z Neo 32 GB,2,intel,16,False,3.06,1465,ddr4,DIMM
1466,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1466,ddr4,DIMM
1467,Patriot Signature 1 GB,2,intel,6,False,6.14,1467,ddr5,DIMM
1468,G.Skill Ripjaws V Series 8 GB,2,intel,16,False,6.14,1468,ddr5,DIMM
1469,Patriot Viper Steel 16 GB,2,intel,16,False,3.06,1469,ddr4,DIMM
1470,Patriot Signature Premium 8 GB,4,amd,19,True,6.14,1470,ddr5,DIMM
1471,G.Skill Aegis 4 GB,2,intel,15,False,6.14,1471,ddr5,DIMM
1472,Corsair Vengeance RGB Pro SL 32 GB,4,amd,18,True,6.14,1472,ddr5,DIMM
1473,Team T-Force Delta RGB 16 GB,4,amd,18,True,3.06,1473,ddr4,DIMM
1474,Corsair Vengeance RGB Pro 64 GB,4,amd,18,True,6.14,1474,ddr5,DIMM
1475,Crucial CT64G4LFQ424A 64 GB,4,amd,17,True,6.14,1475,ddr5,DIMM
1476,G.Skill Trident Z RGB 32 GB,4,amd,18,True,6.14,1476,ddr5,DIMM
1477,Crucial Ballistix 16 GB,2,intel,15,False,3.06,1477,ddr4,DIMM
1478,Corsair Vengeance LPX 32 GB,2,intel,16,False,6.14,1478,ddr5,DIMM
1479,G.Skill Trident Z RGB 32 GB,4,amd,19,True,3.06,1479,ddr4,DIMM
1480,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,1480,ddr4,DIMM
1481,G.Skill Ripjaws V 64 GB,4,amd,18,True,6.14,1481,ddr5,DIMM
1482,Team Elite 8 GB,4,amd,22,True,3.06,1482,ddr4,DIMM
1483,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1483,ddr4,DIMM
1484,Team T-FORCE VULCAN Z 32 GB,4,amd,18,True,6.14,1484,ddr5,DIMM
1485,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1485,ddr5,DIMM
1486,G.Skill Trident Z Royal 256 GB,2,intel,16,False,6.14,1486,ddr5,DIMM
1487,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1487,ddr4,DIMM
1488,Corsair Vengeance LPX 32 GB,2,intel,16,False,6.14,1488,ddr5,DIMM
1489,G.Skill Ripjaws Series 8 GB,2,intel,9,False,6.14,1489,ddr5,DIMM
1490,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1490,ddr5,DIMM
1491,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1491,ddr4,DIMM
1492,Patriot Viper Steel 8 GB,2,intel,16,False,6.14,1492,ddr5,DIMM
1493,Crucial Ballistix RGB 32 GB,2,intel,16,False,6.14,1493,ddr5,DIMM
1494,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1494,ddr4,DIMM
1495,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1495,ddr4,DIMM
1496,Gigabyte AORUS RGB 16 GB,4,amd,18,True,3.06,1496,ddr4,DIMM
1497,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1497,ddr4,DIMM
1498,Corsair Vengeance RGB Pro SL 16 GB,4,amd,18,True,3.06,1498,ddr4,DIMM
1499,G.Skill Trident Z Neo 32 GB,4,amd,18,True,6.14,1499,ddr5,DIMM
1500,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1500,ddr4,DIMM
1501,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1501,ddr4,DIMM
1502,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1502,ddr4,DIMM
1503,G.Skill Trident Z RGB 16 GB,4,amd,18,True,3.06,1503,ddr4,DIMM
1504,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1504,ddr5,DIMM
1505,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1505,ddr4,DIMM
1506,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1506,ddr4,DIMM
1507,G.Skill Ripjaws V Series 32 GB,2,intel,16,False,6.14,1507,ddr5,DIMM
1508,G.Skill Trident Z Neo 32 GB,2,intel,16,False,6.14,1508,ddr5,DIMM
1509,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1509,ddr4,DIMM
1510,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1510,ddr5,DIMM
1511,G.Skill Ripjaws V 16 GB,2,intel,16,False,3.06,1511,ddr4,DIMM
1512,Corsair Vengeance LPX 128 GB,4,amd,19,True,6.14,1512,ddr5,DIMM
1513,Corsair Vengeance LPX 16 GB,4,amd,18,True,3.06,1513,ddr4,DIMM
1514,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1514,ddr4,DIMM
1515,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1515,ddr5,DIMM
1516,G.Skill Aegis 16 GB,2,intel,16,False,3.06,1516,ddr4,DIMM
1517,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1517,ddr4,DIMM
1518,Corsair Vengeance LPX 32 GB,4,amd,18,True,6.14,1518,ddr5,DIMM
1519,G.Skill Trident Z RGB 128 GB,4,amd,18,True,6.14,1519,ddr5,DIMM
1520,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1520,ddr4,DIMM
1521,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1521,ddr4,DIMM
1522,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1522,ddr5,DIMM
1523,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1523,ddr4,DIMM
1524,G.Skill Aegis 8 GB,2,intel,16,False,3.06,1524,ddr4,DIMM
1525,G.Skill Trident Z Neo 16 GB,2,intel,16,False,3.06,1525,ddr4,DIMM
1526,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1526,ddr5,DIMM
1527,Corsair Vengeance LPX 8 GB,2,intel,16,False,6.14,1527,ddr5,DIMM
1528,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1528,ddr4,DIMM
1529,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1529,ddr4,DIMM
1530,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1530,ddr4,DIMM
1531,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1531,ddr4,DIMM
1532,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1532,ddr5,DIMM
1533,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1533,ddr4,DIMM
1534,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1534,ddr4,DIMM
1535,Kingston HyperX Fury 8 GB,2,intel,16,False,3.06,1535,ddr4,DIMM
1536,Corsair Vengeance RGB Pro 64 GB,2,intel,16,False,6.14,1536,ddr5,DIMM
1537,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,1537,ddr4,DIMM
1538,ADATA XPG SPECTRIX D60G 16 GB,2,intel,16,False,3.06,1538,ddr4,DIMM
1539,G.Skill Trident Z Royal 32 GB,4,amd,19,True,6.14,1539,ddr5,DIMM
1540,OLOy MD4U083016BGDA 16 GB,2,intel,16,False,3.06,1540,ddr4,DIMM
1541,G.Skill Ripjaws V 16 GB,4,amd,18,True,3.06,1541,ddr4,DIMM
1542,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1542,ddr4,DIMM
1543,OLOy MD4U083216BJDA 16 GB,2,intel,16,False,3.06,1543,ddr4,DIMM
1544,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1544,ddr4,DIMM
1545,G.Skill Trident Z Neo 64 GB,2,intel,16,False,6.14,1545,ddr5,DIMM
1546,G.Skill Ripjaws V 32 GB,2,intel,16,False,6.14,1546,ddr5,DIMM
1547,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1547,ddr4,DIMM
1548,Kingston HyperX Fury RGB 16 GB,2,intel,16,False,3.06,1548,ddr4,DIMM
1549,Silicon Power XPOWER Turbine 16 GB,2,intel,16,False,3.06,1549,ddr4,DIMM
1550,Crucial Ballistix MAX 16 GB,4,amd,19,True,3.06,1550,ddr4,DIMM
1551,G.Skill Trident Z RGB 64 GB,4,amd,18,True,6.14,1551,ddr5,DIMM
1552,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1552,ddr5,DIMM
1553,Corsair Vengeance 16 GB,2,intel,9,False,3.06,1553,ddr4,DIMM
1554,Patriot Viper Steel 16 GB,4,amd,19,True,3.06,1554,ddr4,DIMM
1555,G.Skill Trident Z Royal 128 GB,4,amd,18,True,6.14,1555,ddr5,DIMM
1556,G.Skill Trident Z RGB 32 GB,2,intel,16,False,3.06,1556,ddr4,DIMM
1557,Silicon Power SP016GXLZU320BDAJ5 16 GB,2,intel,16,False,3.06,1557,ddr4,DIMM
1558,Corsair Vengeance LPX 8 GB,2,intel,16,False,3.06,1558,ddr4,DIMM
1559,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1559,ddr4,DIMM
1560,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1560,ddr4,DIMM
1561,Crucial Ballistix 64 GB,2,intel,16,False,6.14,1561,ddr5,DIMM
1562,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1562,ddr4,DIMM
1563,Team T-Force Delta RGB 32 GB,2,intel,16,False,6.14,1563,ddr5,DIMM
1564,Corsair Dominator Platinum RGB 32 GB,4,amd,18,True,3.06,1564,ddr4,DIMM
1565,G.Skill Trident Z Neo 32 GB,2,intel,16,False,3.06,1565,ddr4,DIMM
1566,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1566,ddr4,DIMM
1567,Patriot Signature 1 GB,2,intel,6,False,6.14,1567,ddr5,DIMM
1568,G.Skill Ripjaws V Series 8 GB,2,intel,16,False,6.14,1568,ddr5,DIMM
1569,Patriot Viper Steel 16 GB,2,intel,16,False,3.06,1569,ddr4,DIMM
1570,Patriot Signature Premium 8 GB,4,amd,19,True,6.14,1570,ddr5,DIMM
1571,G.Skill Aegis 4 GB,2,intel,15,False,6.14,1571,ddr5,DIMM
1572,Corsair Vengeance RGB Pro SL 32 GB,4,amd,18,True,6.14,1572,ddr5,DIMM
1573,Team T-Force Delta RGB 16 GB,4,amd,18,True,3.06,1573,ddr4,DIMM
1574,Corsair Vengeance RGB Pro 64 GB,4,amd,18,True,6.14,1574,ddr5,DIMM
1575,Crucial CT64G4LFQ424A 64 GB,4,amd,17,True,6.14,1575,ddr5,DIMM
1576,G.Skill Trident Z RGB 32 GB,4,amd,18,True,6.14,1576,ddr5,DIMM
1577,Crucial Ballistix 16 GB,2,intel,15,False,3.06,1577,ddr4,DIMM
1578,Corsair Vengeance LPX 32 GB,2,intel,16,False,6.14,1578,ddr5,DIMM
1579,G.Skill Trident Z RGB 32 GB,4,amd,19,True,3.06,1579,ddr4,DIMM
1580,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,1580,ddr4,DIMM
1581,G.Skill Ripjaws V 64 GB,4,amd,18,True,6.14,1581,ddr5,DIMM
1582,Team Elite 8 GB,4,amd,22,True,3.06,1582,ddr4,DIMM
1583,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1583,ddr4,DIMM
1584,Team T-FORCE VULCAN Z 32 GB,4,amd,18,True,6.14,1584,ddr5,DIMM
1585,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1585,ddr5,DIMM
1586,G.Skill Trident Z Royal 256 GB,2,intel,16,False,6.14,1586,ddr5,DIMM
1587,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1587,ddr4,DIMM
1588,Corsair Vengeance LPX 32 GB,2,intel,16,False,6.14,1588,ddr5,DIMM
1589,G.Skill Ripjaws Series 8 GB,2,intel,9,False,6.14,1589,ddr5,DIMM
1590,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1590,ddr5,DIMM
1591,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1591,ddr4,DIMM
1592,Patriot Viper Steel 8 GB,2,intel,16,False,6.14,1592,ddr5,DIMM
1593,Crucial Ballistix RGB 32 GB,2,intel,16,False,6.14,1593,ddr5,DIMM
1594,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1594,ddr4,DIMM
1595,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1595,ddr4,DIMM
1596,Gigabyte AORUS RGB 16 GB,4,amd,18,True,3.06,1596,ddr4,DIMM
1597,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1597,ddr4,DIMM
1598,Corsair Vengeance RGB Pro SL 16 GB,4,amd,18,True,3.06,1598,ddr4,DIMM
1599,G.Skill Trident Z Neo 32 GB,4,amd,18,True,6.14,1599,ddr5,DIMM
1600,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1600,ddr4,DIMM
1601,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1601,ddr4,DIMM
1602,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1602,ddr4,DIMM
1603,G.Skill Trident Z RGB 16 GB,4,amd,18,True,3.06,1603,ddr4,DIMM
1604,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1604,ddr5,DIMM
1605,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1605,ddr4,DIMM
1606,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1606,ddr4,DIMM
1607,G.Skill Ripjaws V Series 32 GB,2,intel,16,False,6.14,1607,ddr5,DIMM
1608,G.Skill Trident Z Neo 32 GB,2,intel,16,False,6.14,1608,ddr5,DIMM
1609,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1609,ddr4,DIMM
1610,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,1610,ddr5,DIMM
1611,G.Skill Ripjaws V 16 GB,2,intel,16,False,3.06,1611,ddr4,DIMM
1612,Corsair Vengeance LPX 128 GB,4,amd,19,True,6.14,1612,ddr5,DIMM
1613,Corsair Vengeance LPX 16 GB,4,amd,18,True,3.06,1613,ddr4,DIMM
1614,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,1614,ddr4,DIMM
1615,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1615,ddr5,DIMM
1616,G.Skill Aegis 16 GB,2,intel,16,False,3.06,1616,ddr4,DIMM
1617,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1617,ddr4,DIMM
1618,Corsair Vengeance LPX 32 GB,4,amd,18,True,6.14,1618,ddr5,DIMM
1619,G.Skill Trident Z RGB 128 GB,4,amd,18,True,6.14,1619,ddr5,DIMM
1620,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,1620,ddr4,DIMM
1621,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1621,ddr4,DIMM
1622,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1622,ddr5,DIMM
1623,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,1623,ddr4,DIMM
1624,G.Skill Aegis 8 GB,2,intel,16,False,3.06,1624,ddr4,DIMM
1625,G.Skill Trident Z Neo 16 GB,2,intel,16,False,3.06,1625,ddr4,DIMM
1626,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,1626,ddr5,DIMM
1627,Corsair Vengeance LPX 8 GB,2,intel,16,False,6.14,1627,ddr5,DIMM
1628,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1628,ddr4,DIMM
1629,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1629,ddr4,DIMM
1630,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1630,ddr4,DIMM
1631,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1631,ddr4,DIMM
1632,Crucial Ballistix 32 GB,2,intel,16,False,6.14,1632,ddr5,DIMM
1633,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,1633,ddr4,DIMM
1634,Crucial Ballistix 16 GB,2,intel,16,False,3.06,1634,ddr4,DIMM
1635,Kingston HyperX Fury 8 GB,2,intel,16,False,3.06,1635,ddr4,DIMM
1636,Corsair Vengeance RGB Pro 64 GB,2,intel,16,False,6.14,1636,ddr5,DIMM
1637,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,1637,ddr4,DIMM
1638,ADATA XPG SPECTRIX D60G 16 GB,2,intel,16,False,3.06,1638,ddr4,DIMM
1639,G.Skill Trident Z Royal 32 GB,4,amd,19,True,6.14,1639,ddr5,DIMM
1640,OLOy MD4U083016BGDA 16 GB,2,intel,16,False,3.06,1640,ddr4,DIMM
1641,G.Skill Ripjaws V 16 GB,4,amd,18,True,3.06,1641,ddr4,DIMM
1642,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,1642,ddr4,DIMM
1643,OLOy MD4U083216BJDA 16 GB,2,intel,16,False,3.06,1643,ddr4,DIMM
1644,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,1644,ddr4,DIMM
1645,G.Skill Trident Z Neo 64 GB,2,intel,16,False,6.14,1645,ddr5,DIMM
1646,G.Skill Ripjaws V 32 GB,2,intel,16,False,6.14,1646,ddr5,DIMM
1647,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1647,ddr4,DIMM
1648,Kingston HyperX Fury RGB 16 GB,2,intel,16,False,3.06,1648,ddr4,DIMM
1649,Silicon Power XPOWER Turbine 16 GB,2,intel,16,False,3.06,1649,ddr4,DIMM
1650,Crucial Ballistix MAX 16 GB,4,amd,19,True,3.06,1650,ddr4,DIMM
1651,G.Skill Trident Z RGB 64 GB,4,amd,18,True,6.14,1651,ddr5,DIMM
1652,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,1652,ddr5,DIMM
1653,Corsair Vengeance 16 GB,2,intel,9,False,3.06,1653,ddr4,DIMM
1654,Patriot Viper Steel 16 GB,4,amd,19,True,3.06,1654,ddr4,DIMM
1655,G.Skill Trident Z Royal 128 GB,4,amd,18,True,6.14,1655,ddr5,DIMM
1656,G.Skill Trident Z RGB 32 GB,2,intel,16,False,3.06,1656,ddr4,DIMM
1657,Silicon Power SP016GXLZU320BDAJ5 16 GB,2,intel,16,False,3.06,1657,ddr4,DIMM
1658,Corsair Vengeance LPX 8 GB,2,intel,16,False,3.06,1658,ddr4,DIMM
1659,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,1659,ddr4,DIMM
1660,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,1660,ddr4,DIMM
1661,Crucial Ballistix 64 GB,2,intel,16,False,6.14,1661,ddr5,DIMM
1662,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,1662,ddr4,DIMM
1663,Team T-Force Delta RGB 32 GB,2,intel,16,False,6.14,1663,ddr5,DIMM
1664,Corsair Dominator Platinum RGB 32 GB,4,amd,18,True,3.06,1664,ddr4,DIMM
1665,G.Skill Trident Z Neo 32 GB,2,intel,16,False,3.06,1665,ddr4,DIMM
1666,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,1666,ddr4,DIMM
1667,Patriot Signature 1 GB,2,intel,6,False,6.14,1667,ddr5,DIMM
1668,G.Skill Ripjaws V Series 8 GB,2,intel,16,False,6.14,1668,ddr5,DIMM
1669,Patriot Viper Steel 16 GB,2,intel,16,False,3.06,1669,ddr4,DIMM
1670,Patriot Signature Premium 8 GB,4,amd,19,True,6.14,1670,ddr5,DIMM
1671,G.Skill Aegis 4 GB,2,intel,15,False,6.14,1671,ddr5,DIMM
1672,Corsair Vengeance RGB Pro SL 32 GB,4,amd,18,True,6.14,1672,ddr5,DIMM
1673,Team T-Force Delta RGB 16 GB,4,amd,18,True,3.06,1673,ddr4,DIMM
1674,Corsair Vengeance RGB Pro 64 GB,4,amd,18,True,6.14,1674,ddr5,DIMM
1675,Crucial CT64G4LFQ424A 64 GB,4,amd,17,True,6.14,1675,ddr5,DIMM
1676,G.Skill Trident Z RGB 32 GB,4,amd,18,True,6.14,1676,ddr5,DIMM
