,name,ModelNumber,ecc_Compatability,wattage,dimm_slot,memory_type,pci_express_slot_type,quantity
902,Asus ROG STRIX B550-F GAMING (WI-FI),1216,FALSE,65,1,4,1,3
903,MSI MAG B550 TOMAHAWK,1216,FALSE,65,1,2,1,2
904,ASRock B450M Pro4,1216,FALSE,65,2,5,1,3
905,MSI Z490-A PRO,1216,FALSE,65,1,5,1,3
906,Asus ROG STRIX B550-A GAMING,1216,FALSE,65,2,1,3,3
907,MSI B550-A PRO,1216,FALSE,65,2,5,2,3
908,Asus ROG Strix X570-E Gaming,1216,FALSE,65,1,3,2,2
909,Gigabyte B450M DS3H V2,1216,FALSE,65,2,1,1,2
910,MSI MPG Z490 GAMING PLUS,1216,FALSE,65,2,5,2,2
911,Asus ROG STRIX B450-F GAMING,1216,FALSE,65,2,4,3,1
912,MSI B550M PRO-VDH WIFI,1216,FALSE,65,2,5,3,2
913,MSI MAG X570 TOMAHAWK WIFI,1216,FALSE,65,2,5,3,3
914,Asus ROG Crosshair VIII Dark Hero,1216,FALSE,65,2,5,3,2
915,Gigabyte B460M DS3H,1216,FALSE,65,1,5,4,2
916,MSI MPG Z490 GAMING EDGE WIFI,1216,FALSE,65,1,5,1,3
917,Gigabyte B450 I AORUS PRO WIFI,1216,FALSE,65,2,1,2,3
918,MSI MPG B550 GAMING EDGE WIFI,1216,FALSE,65,1,2,4,3
919,Asus ROG STRIX Z490-E GAMING,1216,FALSE,65,2,3,1,1
920,Asus ROG STRIX B550-F GAMING,1216,FALSE,65,1,5,2,3
921,Asus ROG STRIX Z590-E GAMING WIFI,1216,FALSE,65,1,3,2,1
922,Asus ROG Strix X570-I Gaming,1216,FALSE,65,2,1,3,2
923,Asus PRIME B560M-A,1216,FALSE,65,2,5,2,3
924,Asus ROG ZENITH II EXTREME ALPHA,1216,FALSE,65,1,3,3,2
925,MSI MPG B550 GAMING PLUS,1216,FALSE,65,1,1,1,2
926,Gigabyte X570 AORUS ELITE WIFI,1216,FALSE,65,1,5,2,3
927,ASRock B450 Steel Legend,1216,FALSE,65,1,3,4,2
928,Asus PRIME Z390-A,1216,FALSE,65,2,3,1,1
929,Asus PRIME Z490-A,1216,FALSE,65,2,2,3,2
930,Asus PRIME B460-PLUS,1216,FALSE,65,2,5,4,3
931,Gigabyte B550M DS3H,1216,FALSE,65,1,3,4,3
932,Gigabyte B450 AORUS ELITE V2,1216,FALSE,65,2,2,2,3
933,Gigabyte B550I AORUS PRO AX,1216,FALSE,65,2,4,2,1
934,Asus ROG STRIX B450-F GAMING II,1216,FALSE,65,1,1,3,2
935,Asus PRIME X570-PRO,1216,FALSE,65,1,5,1,2
936,Gigabyte X570 AORUS MASTER,1216,FALSE,65,1,4,4,1
937,Asus ROG Crosshair VIII Hero (WI-FI),1216,FALSE,65,2,1,2,3
938,MSI Z390-A PRO,1216,FALSE,65,2,1,4,2
939,Asus PRIME H410M-E,1216,FALSE,65,2,4,4,3
940,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1216,FALSE,65,1,2,4,3
941,MSI B450M BAZOOKA MAX WIFI,1216,FALSE,65,2,1,3,3
942,Asus ROG MAXIMUS XIII HERO,1216,FALSE,65,1,2,3,1
943,Asus TUF Gaming Z590-PLUS WIFI,1216,FALSE,65,2,5,2,3
944,Asus TUF GAMING B560M-PLUS WIFI,1216,FALSE,65,1,2,2,1
945,Asus TUF GAMING X570-PRO (WI-FI),1216,FALSE,65,2,3,2,2
946,Asus ROG STRIX B550-I GAMING,1216,FALSE,65,2,4,2,1
947,ASRock B550M Pro4,1216,FALSE,65,1,4,3,1
948,MSI B450M PRO-VDH MAX,1216,FALSE,65,1,1,2,2
949,MSI MAG B550M MORTAR WIFI,1216,FALSE,65,1,5,1,3
950,Asus PRIME A320M-K,1216,FALSE,65,2,2,1,1
951,Gigabyte B365M DS3H,1216,FALSE,65,1,2,2,2
952,Asus PRIME B460M-A,1216,FALSE,65,2,4,1,3
953,Gigabyte X570 I AORUS PRO WIFI,1216,FALSE,65,2,5,4,1
954,Gigabyte Z490 VISION G,1216,FALSE,65,1,2,1,1
955,MSI MPG X570 GAMING EDGE WIFI,1216,FALSE,65,2,1,3,1
956,Gigabyte B550 AORUS ELITE AX V2,1216,FALSE,65,1,3,2,2
957,Asus ROG STRIX B550-E GAMING,1216,FALSE,65,1,3,1,3
958,MSI B460M PRO-VDH WIFI,1216,FALSE,65,1,2,4,2
959,ASRock B450M-HDV R4.0,1216,FALSE,65,2,2,4,3
960,Asus TUF GAMING B550-PLUS (WI-FI),1216,FALSE,65,2,5,1,3
961,MSI B450 Gaming Plus MAX,1216,FALSE,65,2,1,3,2
962,ASRock B560M Pro4,1216,FALSE,65,2,5,1,2
963,Asus TUF GAMING B550-PLUS,1216,FALSE,65,2,2,4,3
964,Asus ROG Crosshair VIII Formula,1216,FALSE,65,2,5,2,1
965,ASRock B550 Phantom Gaming 4,1216,FALSE,65,2,1,4,1
966,Asus PRIME Z490-P,1216,FALSE,65,1,5,3,3
967,MSI MPG X570 GAMING PRO CARBON WIFI,1216,FALSE,65,2,4,1,3
968,Asus TUF GAMING B550M-PLUS (WI-FI),1216,FALSE,65,2,2,1,2
969,ASRock B560M-HDV,1216,FALSE,65,2,2,3,1
970,Asus PRIME B560-PLUS,1216,FALSE,65,1,1,4,2
971,Gigabyte X570 AORUS ELITE,1216,FALSE,65,2,5,2,2
972,Gigabyte B550 VISION D-P,1216,FALSE,65,2,2,3,3
973,MSI A320M-A PRO,1216,FALSE,65,1,2,4,2
974,MSI MPG X570 GAMING PLUS,1216,FALSE,65,2,5,2,1
975,Gigabyte Z390 AORUS PRO WIFI,1216,FALSE,65,2,1,1,1
976,MSI MEG X570 UNIFY,1216,FALSE,65,1,3,4,3
977,ASRock B450 Pro4,1216,FALSE,65,1,5,2,1
978,Gigabyte TRX40 AORUS XTREME,1216,FALSE,65,2,1,3,1
979,Gigabyte B550 AORUS PRO AC,1216,FALSE,65,2,1,2,2
980,Gigabyte B450 AORUS M,1216,FALSE,65,2,1,2,2
981,ASRock B450M Steel Legend,1216,FALSE,65,1,4,1,2
982,Gigabyte B560M DS3H,1216,FALSE,65,1,2,4,1
983,ASRock A320M-HDV R4.0,1216,FALSE,65,1,3,2,2
984,Gigabyte X570 AORUS XTREME,1216,FALSE,65,1,5,3,3
985,MSI B450-A PRO MAX,1216,FALSE,65,1,2,2,3
986,MSI B450 GAMING PRO CARBON MAX WIFI,1216,FALSE,65,1,3,3,3
987,ASRock B550M-ITX/ac,1216,FALSE,65,2,3,1,3
988,Asus ROG STRIX Z590-A GAMING WIFI,1216,FALSE,65,1,1,4,3
989,Asus ROG STRIX B560-A GAMING WIFI,1216,FALSE,65,1,5,2,1
990,Asus TUF GAMING B450M-PLUS II,1216,FALSE,65,2,3,4,3
991,MSI B560M PRO-VDH WIFI,1216,FALSE,65,1,5,3,3
992,Asus ROG Crosshair VIII Hero,1216,FALSE,65,2,5,4,3
993,MSI MPG B550 GAMING CARBON WIFI,1216,FALSE,65,2,1,3,2
994,NZXT N7 B550,1216,FALSE,65,2,2,3,2
995,Asus ROG Strix X570-F Gaming,1216,FALSE,65,2,4,1,2
996,MSI Z590-A PRO,1216,FALSE,65,2,5,3,1
997,MSI B450 TOMAHAWK MAX II,1216,FALSE,65,2,2,1,3
998,Asus PRIME B550M-A (WI-FI),1216,FALSE,65,1,4,3,3
999,MSI X470 GAMING PLUS MAX,1216,FALSE,65,2,3,2,2
1000,Asus TUF GAMING X570-PLUS (WI-FI),1216,FALSE,65,1,5,3,2
1001,MSI B450 TOMAHAWK MAX,1216,FALSE,65,2,5,1,1
1002,Asus ROG STRIX B550-F GAMING (WI-FI),1216,FALSE,65,2,2,4,2
1003,MSI MAG B550 TOMAHAWK,1216,FALSE,65,1,1,2,1
1004,ASRock B450M Pro4,1216,FALSE,65,2,1,2,2
1005,MSI Z490-A PRO,1216,FALSE,65,2,4,4,3
1006,Asus ROG STRIX B550-A GAMING,1216,FALSE,65,1,1,1,1
1007,MSI B550-A PRO,1216,FALSE,65,1,5,4,1
1008,Asus ROG Strix X570-E Gaming,1216,FALSE,65,2,2,1,3
1009,Gigabyte B450M DS3H V2,1216,FALSE,65,1,2,2,1
1010,MSI MPG Z490 GAMING PLUS,1216,FALSE,65,1,2,3,1
1011,Asus ROG STRIX B450-F GAMING,1216,FALSE,65,1,1,1,3
1012,MSI B550M PRO-VDH WIFI,1216,FALSE,65,1,5,3,3
1013,MSI MAG X570 TOMAHAWK WIFI,1216,FALSE,65,1,3,1,1
1014,Asus ROG Crosshair VIII Dark Hero,1216,FALSE,65,1,2,1,2
1015,Gigabyte B460M DS3H,1216,FALSE,65,2,3,1,1
1016,MSI MPG Z490 GAMING EDGE WIFI,1216,FALSE,65,2,1,1,3
1017,Gigabyte B450 I AORUS PRO WIFI,1216,FALSE,65,2,1,2,3
1018,MSI MPG B550 GAMING EDGE WIFI,1216,FALSE,65,2,1,3,1
1019,Asus ROG STRIX Z490-E GAMING,1216,FALSE,65,1,4,3,1
1020,Asus ROG STRIX B550-F GAMING,1216,FALSE,65,2,1,2,2
1021,Asus ROG STRIX Z590-E GAMING WIFI,1216,FALSE,65,1,5,2,1
1022,Asus ROG Strix X570-I Gaming,1216,FALSE,65,1,2,3,1
1023,Asus PRIME B560M-A,1216,FALSE,65,1,3,3,2
1024,Asus ROG ZENITH II EXTREME ALPHA,1216,FALSE,65,1,4,2,2
1025,MSI MPG B550 GAMING PLUS,1216,FALSE,65,2,2,2,3
1026,Gigabyte X570 AORUS ELITE WIFI,1216,FALSE,65,1,2,3,3
1027,ASRock B450 Steel Legend,1216,FALSE,65,2,1,3,3
1028,Asus PRIME Z390-A,1216,FALSE,65,2,5,3,1
1029,Asus PRIME Z490-A,1216,FALSE,65,2,2,4,3
1030,Asus PRIME B460-PLUS,1216,FALSE,65,1,2,1,3
1031,Gigabyte B550M DS3H,1216,FALSE,65,1,2,3,1
1032,Gigabyte B450 AORUS ELITE V2,1216,FALSE,65,2,4,3,2
1033,Gigabyte B550I AORUS PRO AX,1216,FALSE,65,1,3,3,3
1034,Asus ROG STRIX B450-F GAMING II,1216,FALSE,65,2,4,1,2
1035,Asus PRIME X570-PRO,1216,FALSE,65,1,3,1,2
1036,Gigabyte X570 AORUS MASTER,1216,FALSE,65,2,2,2,2
1037,Asus ROG Crosshair VIII Hero (WI-FI),1216,FALSE,65,1,3,3,1
1038,MSI Z390-A PRO,1216,FALSE,65,1,1,3,3
1039,Asus PRIME H410M-E,1216,FALSE,65,2,1,3,2
1040,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1216,FALSE,65,1,1,4,1
1041,MSI B450M BAZOOKA MAX WIFI,1216,FALSE,65,1,3,2,3
1042,Asus ROG MAXIMUS XIII HERO,1216,FALSE,65,1,1,4,2
1043,Asus TUF Gaming Z590-PLUS WIFI,1216,FALSE,65,1,3,1,1
1044,Asus TUF GAMING B560M-PLUS WIFI,1216,FALSE,65,2,1,2,1
1045,Asus TUF GAMING X570-PRO (WI-FI),1216,FALSE,65,1,5,2,3
1046,Asus ROG STRIX B550-I GAMING,1216,FALSE,65,1,1,1,3
1047,ASRock B550M Pro4,1216,FALSE,65,2,3,3,1
1048,MSI B450M PRO-VDH MAX,1216,FALSE,65,2,4,2,3
1049,MSI MAG B550M MORTAR WIFI,1216,FALSE,65,2,1,1,1
1050,Asus PRIME A320M-K,1216,FALSE,65,1,5,1,1
1051,Gigabyte B365M DS3H,1216,FALSE,65,2,5,3,2
1052,Asus PRIME B460M-A,1216,FALSE,65,2,1,2,1
1053,Gigabyte X570 I AORUS PRO WIFI,1216,FALSE,65,2,1,2,2
1054,Gigabyte Z490 VISION G,1216,FALSE,65,1,2,4,2
1055,MSI MPG X570 GAMING EDGE WIFI,1216,FALSE,65,1,4,1,3
1056,Gigabyte B550 AORUS ELITE AX V2,1216,FALSE,65,2,1,4,1
1057,Asus ROG STRIX B550-E GAMING,1216,FALSE,65,1,5,2,2
1058,MSI B460M PRO-VDH WIFI,1216,FALSE,65,2,2,3,3
1059,ASRock B450M-HDV R4.0,1216,FALSE,65,2,4,4,2
1060,Asus TUF GAMING B550-PLUS (WI-FI),1216,FALSE,65,1,5,2,3
1061,MSI B450 Gaming Plus MAX,1216,FALSE,65,2,3,1,1
1062,ASRock B560M Pro4,1216,FALSE,65,2,2,1,1
1063,Asus TUF GAMING B550-PLUS,1216,FALSE,65,2,1,1,1
1064,Asus ROG Crosshair VIII Formula,1216,FALSE,65,1,1,4,3
1065,ASRock B550 Phantom Gaming 4,1216,FALSE,65,2,3,3,2
1066,Asus PRIME Z490-P,1216,FALSE,65,1,5,3,3
1067,MSI MPG X570 GAMING PRO CARBON WIFI,1216,FALSE,65,2,2,3,1
1068,Asus TUF GAMING B550M-PLUS (WI-FI),1216,FALSE,65,1,5,1,3
1069,ASRock B560M-HDV,1216,FALSE,65,1,1,1,1
1070,Asus PRIME B560-PLUS,1216,FALSE,65,1,1,3,1
1071,Gigabyte X570 AORUS ELITE,1216,FALSE,65,1,1,4,3
1072,Gigabyte B550 VISION D-P,1216,FALSE,65,2,2,3,2
1073,MSI A320M-A PRO,1216,FALSE,65,1,4,2,2
1074,MSI MPG X570 GAMING PLUS,1216,FALSE,65,1,5,1,1
1075,Gigabyte Z390 AORUS PRO WIFI,1216,FALSE,65,1,2,4,1
1076,MSI MEG X570 UNIFY,1216,FALSE,65,1,3,2,3
1077,ASRock B450 Pro4,1216,FALSE,65,1,2,3,1
1078,Gigabyte TRX40 AORUS XTREME,1216,FALSE,65,2,3,3,1
1079,Gigabyte B550 AORUS PRO AC,1216,FALSE,65,2,3,2,2
1080,Gigabyte B450 AORUS M,1216,FALSE,65,1,3,2,3
1081,ASRock B450M Steel Legend,1216,FALSE,65,2,1,1,3
1082,Gigabyte B560M DS3H,1216,FALSE,65,1,5,4,2
1083,ASRock A320M-HDV R4.0,1216,FALSE,65,1,2,1,2
1084,Gigabyte X570 AORUS XTREME,1216,FALSE,65,1,5,4,2
1085,MSI B450-A PRO MAX,1216,FALSE,65,2,2,4,1
1086,MSI B450 GAMING PRO CARBON MAX WIFI,1216,FALSE,65,2,4,4,2
1087,ASRock B550M-ITX/ac,1216,FALSE,65,1,3,2,2
1088,Asus ROG STRIX Z590-A GAMING WIFI,1216,FALSE,65,2,5,2,1
1089,Asus ROG STRIX B560-A GAMING WIFI,1216,FALSE,65,1,2,2,2
1090,Asus TUF GAMING B450M-PLUS II,1216,FALSE,65,1,3,4,1
1091,MSI B560M PRO-VDH WIFI,1216,FALSE,65,2,2,1,1
1092,Asus ROG Crosshair VIII Hero,1216,FALSE,65,1,2,1,2
1093,MSI MPG B550 GAMING CARBON WIFI,1216,FALSE,65,1,4,4,2
1094,NZXT N7 B550,1216,FALSE,65,2,1,1,3
1095,Asus ROG Strix X570-F Gaming,1216,FALSE,65,1,3,2,1
1096,MSI Z590-A PRO,1216,FALSE,65,1,2,2,1
1097,MSI B450 TOMAHAWK MAX II,1216,FALSE,65,1,2,4,1
1098,Asus PRIME B550M-A (WI-FI),1216,FALSE,65,1,2,2,3
1099,MSI X470 GAMING PLUS MAX,1216,FALSE,65,1,5,3,2
1100,Asus TUF GAMING X570-PLUS (WI-FI),1216,FALSE,65,2,3,3,3
1101,MSI B450 TOMAHAWK MAX,1216,FALSE,65,1,4,3,3
1102,Asus ROG STRIX B550-F GAMING (WI-FI),1216,FALSE,65,2,4,4,1
1103,MSI MAG B550 TOMAHAWK,1216,FALSE,65,2,5,3,2
1104,ASRock B450M Pro4,1216,FALSE,65,2,3,4,2
1105,MSI Z490-A PRO,1216,FALSE,65,2,1,3,1
1106,Asus ROG STRIX B550-A GAMING,1216,FALSE,65,1,2,4,1
1107,MSI B550-A PRO,1216,FALSE,65,1,2,2,2
1108,Asus ROG Strix X570-E Gaming,1216,FALSE,65,2,4,4,1
1109,Gigabyte B450M DS3H V2,1216,FALSE,65,2,5,4,1
1110,MSI MPG Z490 GAMING PLUS,1216,FALSE,65,1,1,2,2
1111,Asus ROG STRIX B450-F GAMING,1216,FALSE,65,1,2,4,1
1112,MSI B550M PRO-VDH WIFI,1216,FALSE,65,2,1,1,1
1113,MSI MAG X570 TOMAHAWK WIFI,1216,FALSE,65,2,3,3,3
1114,Asus ROG Crosshair VIII Dark Hero,1216,FALSE,65,2,2,4,3
1115,Gigabyte B460M DS3H,1216,FALSE,65,2,2,4,3
1116,MSI MPG Z490 GAMING EDGE WIFI,1216,FALSE,65,2,3,2,1
1117,Gigabyte B450 I AORUS PRO WIFI,1216,FALSE,65,1,3,3,2
1118,MSI MPG B550 GAMING EDGE WIFI,1216,FALSE,65,2,5,2,2
1119,Asus ROG STRIX Z490-E GAMING,1216,FALSE,65,2,5,4,1
1120,Asus ROG STRIX B550-F GAMING,1216,FALSE,65,1,4,3,1
1121,Asus ROG STRIX Z590-E GAMING WIFI,1216,FALSE,65,2,5,2,2
1122,Asus ROG Strix X570-I Gaming,1216,FALSE,65,2,5,2,1
1123,Asus PRIME B560M-A,1216,FALSE,65,1,4,4,2
1124,Asus ROG ZENITH II EXTREME ALPHA,1216,FALSE,65,1,2,1,3
1125,MSI MPG B550 GAMING PLUS,1216,FALSE,65,2,2,1,2
1126,Gigabyte X570 AORUS ELITE WIFI,1216,FALSE,65,2,3,2,1
1127,ASRock B450 Steel Legend,1216,FALSE,65,2,3,2,1
1128,Asus PRIME Z390-A,1216,FALSE,65,1,3,1,3
1129,Asus PRIME Z490-A,1216,FALSE,65,1,5,1,3
1130,Asus PRIME B460-PLUS,1216,FALSE,65,1,2,1,2
1131,Gigabyte B550M DS3H,1216,FALSE,65,2,3,2,2
1132,Gigabyte B450 AORUS ELITE V2,1216,FALSE,65,1,5,3,2
1133,Gigabyte B550I AORUS PRO AX,1216,FALSE,65,2,4,2,3
1134,Asus ROG STRIX B450-F GAMING II,1216,FALSE,65,1,1,3,2
1135,Asus PRIME X570-PRO,1216,FALSE,65,2,4,2,3
1136,Gigabyte X570 AORUS MASTER,1216,FALSE,65,2,3,3,1
1137,Asus ROG Crosshair VIII Hero (WI-FI),1216,FALSE,65,2,5,2,3
1138,MSI Z390-A PRO,1216,FALSE,65,2,5,2,3
1139,Asus PRIME H410M-E,1216,FALSE,65,1,2,1,1
1140,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1216,FALSE,65,2,4,2,1
1141,MSI B450M BAZOOKA MAX WIFI,1216,FALSE,65,1,3,4,2
1142,Asus ROG MAXIMUS XIII HERO,1216,FALSE,65,2,1,1,2
1143,Asus TUF Gaming Z590-PLUS WIFI,1216,FALSE,65,2,2,3,1
1144,Asus TUF GAMING B560M-PLUS WIFI,1216,FALSE,65,2,5,1,1
1145,Asus TUF GAMING X570-PRO (WI-FI),1216,FALSE,65,1,2,3,2
1146,Asus ROG STRIX B550-I GAMING,1216,FALSE,65,1,2,3,3
1147,ASRock B550M Pro4,1216,FALSE,65,1,2,2,1
1148,MSI B450M PRO-VDH MAX,1216,FALSE,65,1,1,1,2
1149,MSI MAG B550M MORTAR WIFI,1216,FALSE,65,2,4,1,1
1150,Asus PRIME A320M-K,1216,FALSE,65,2,4,2,1
1151,Gigabyte B365M DS3H,1216,FALSE,65,1,1,3,2
1152,Asus PRIME B460M-A,1216,FALSE,65,1,3,2,1
1153,Gigabyte X570 I AORUS PRO WIFI,1216,FALSE,65,2,2,2,3
1154,Gigabyte Z490 VISION G,1216,FALSE,65,2,4,1,2
1155,MSI MPG X570 GAMING EDGE WIFI,1216,FALSE,65,1,5,4,2
1156,Gigabyte B550 AORUS ELITE AX V2,1216,FALSE,65,1,4,2,2
1157,Asus ROG STRIX B550-E GAMING,1216,FALSE,65,2,3,2,1
1158,MSI B460M PRO-VDH WIFI,1216,FALSE,65,1,5,4,1
1159,ASRock B450M-HDV R4.0,1216,FALSE,65,1,2,4,2
1160,Asus TUF GAMING B550-PLUS (WI-FI),1216,FALSE,65,1,5,2,3
1161,MSI B450 Gaming Plus MAX,1216,FALSE,65,2,1,2,2
1162,ASRock B560M Pro4,1216,FALSE,65,2,4,4,3
1163,Asus TUF GAMING B550-PLUS,1216,FALSE,65,2,1,2,3
1164,Asus ROG Crosshair VIII Formula,1216,FALSE,65,1,4,1,3
1165,ASRock B550 Phantom Gaming 4,1216,FALSE,65,1,5,1,2
1166,Asus PRIME Z490-P,1216,FALSE,65,1,4,3,1
1167,MSI MPG X570 GAMING PRO CARBON WIFI,1216,FALSE,65,2,1,3,2
1168,Asus TUF GAMING B550M-PLUS (WI-FI),1216,FALSE,65,1,3,1,3
1169,ASRock B560M-HDV,1216,FALSE,65,1,3,3,3
1170,Asus PRIME B560-PLUS,1216,FALSE,65,2,3,1,1
1171,Gigabyte X570 AORUS ELITE,1216,FALSE,65,1,2,3,1
1172,Gigabyte B550 VISION D-P,1216,FALSE,65,1,1,4,1
1173,MSI A320M-A PRO,1216,FALSE,65,2,2,1,1
1174,MSI MPG X570 GAMING PLUS,1216,FALSE,65,2,3,2,1
1175,Gigabyte Z390 AORUS PRO WIFI,1216,FALSE,65,2,3,3,3
1176,MSI MEG X570 UNIFY,1216,FALSE,65,2,1,4,1
1177,ASRock B450 Pro4,1216,FALSE,65,1,2,3,2
1178,Gigabyte TRX40 AORUS XTREME,1216,FALSE,65,2,4,1,3
1179,Gigabyte B550 AORUS PRO AC,1216,FALSE,65,1,2,3,3
1180,Gigabyte B450 AORUS M,1216,FALSE,65,2,4,3,2
1181,ASRock B450M Steel Legend,1216,FALSE,65,1,1,3,2
1182,Gigabyte B560M DS3H,1216,FALSE,65,2,3,3,1
1183,ASRock A320M-HDV R4.0,1216,FALSE,65,2,3,3,2
1184,Gigabyte X570 AORUS XTREME,1216,FALSE,65,1,3,4,3
1185,MSI B450-A PRO MAX,1216,FALSE,65,2,4,4,3
1186,MSI B450 GAMING PRO CARBON MAX WIFI,1216,FALSE,65,1,4,4,3
1187,ASRock B550M-ITX/ac,1216,FALSE,65,2,3,3,3
1188,Asus ROG STRIX Z590-A GAMING WIFI,1216,FALSE,65,1,1,1,2
1189,Asus ROG STRIX B560-A GAMING WIFI,1216,FALSE,65,2,1,2,3
1190,Asus TUF GAMING B450M-PLUS II,1216,FALSE,65,2,2,4,3
1191,MSI B560M PRO-VDH WIFI,1216,FALSE,65,2,3,2,3
1192,Asus ROG Crosshair VIII Hero,1216,FALSE,65,1,5,3,1
1193,MSI MPG B550 GAMING CARBON WIFI,1216,FALSE,65,1,2,4,1
1194,NZXT N7 B550,1216,FALSE,65,2,3,4,1
1195,Asus ROG Strix X570-F Gaming,1216,FALSE,65,1,1,1,3
1196,MSI Z590-A PRO,1216,FALSE,65,2,1,3,2
1197,MSI B450 TOMAHAWK MAX II,1216,FALSE,65,2,5,1,3
1198,Asus PRIME B550M-A (WI-FI),1216,FALSE,65,2,3,3,3
1199,MSI X470 GAMING PLUS MAX,1216,FALSE,65,2,4,3,2
1200,Asus TUF GAMING X570-PLUS (WI-FI),1216,FALSE,65,1,4,3,2
1201,MSI B450 TOMAHAWK MAX,1216,FALSE,65,2,2,3,3
1202,Asus ROG STRIX B550-F GAMING (WI-FI),1216,FALSE,65,1,3,1,2
1203,MSI MAG B550 TOMAHAWK,1216,FALSE,65,2,4,2,1
1204,ASRock B450M Pro4,1216,FALSE,65,2,3,2,2
1205,MSI Z490-A PRO,1216,FALSE,65,1,2,3,3
1206,Asus ROG STRIX B550-A GAMING,1216,FALSE,65,1,1,3,2
1207,MSI B550-A PRO,1216,FALSE,65,2,5,2,1
1208,Asus ROG Strix X570-E Gaming,1216,FALSE,65,2,1,1,2
1209,Gigabyte B450M DS3H V2,1216,FALSE,65,1,4,2,2
1210,MSI MPG Z490 GAMING PLUS,1216,FALSE,65,1,5,2,2
1211,Asus ROG STRIX B450-F GAMING,1216,FALSE,65,2,3,4,2
1212,MSI B550M PRO-VDH WIFI,1216,FALSE,65,2,5,3,3
1213,MSI MAG X570 TOMAHAWK WIFI,1216,FALSE,65,2,4,1,3
1214,Asus ROG Crosshair VIII Dark Hero,1216,FALSE,65,2,3,1,3
1215,Gigabyte B460M DS3H,1216,FALSE,65,2,5,4,2
1216,MSI MPG Z490 GAMING EDGE WIFI,1216,FALSE,65,1,3,4,3
1217,Gigabyte B450 I AORUS PRO WIFI,1216,FALSE,65,1,3,4,2
1218,MSI MPG B550 GAMING EDGE WIFI,1216,FALSE,65,2,4,2,3
1219,Asus ROG STRIX Z490-E GAMING,1216,FALSE,65,2,5,1,3
1220,Asus ROG STRIX B550-F GAMING,1216,FALSE,65,2,2,2,2
1221,Asus ROG STRIX Z590-E GAMING WIFI,1216,FALSE,65,2,5,2,2
1222,Asus ROG Strix X570-I Gaming,1216,FALSE,65,2,3,1,2
1223,Asus PRIME B560M-A,1216,FALSE,65,2,2,1,2
1224,Asus ROG ZENITH II EXTREME ALPHA,1216,FALSE,65,1,1,1,1
1225,MSI MPG B550 GAMING PLUS,1216,FALSE,65,1,5,3,3
1226,Gigabyte X570 AORUS ELITE WIFI,1216,FALSE,65,1,5,3,2
1227,ASRock B450 Steel Legend,1216,FALSE,65,1,5,1,1
1228,Asus PRIME Z390-A,1216,FALSE,65,2,3,2,3
1229,Asus PRIME Z490-A,1216,FALSE,65,2,1,1,3
1230,Asus PRIME B460-PLUS,1216,FALSE,65,2,3,2,2
1231,Gigabyte B550M DS3H,1216,FALSE,65,2,1,3,3
1232,Gigabyte B450 AORUS ELITE V2,1216,FALSE,65,2,5,4,3
1233,Gigabyte B550I AORUS PRO AX,1216,FALSE,65,2,4,2,2
1234,Asus ROG STRIX B450-F GAMING II,1216,FALSE,65,2,5,1,3
1235,Asus PRIME X570-PRO,1216,FALSE,65,2,3,2,2
1236,Gigabyte X570 AORUS MASTER,1216,FALSE,65,1,1,3,1
1237,Asus ROG Crosshair VIII Hero (WI-FI),1216,FALSE,65,2,4,2,2
1238,MSI Z390-A PRO,1216,FALSE,65,2,3,2,3
1239,Asus PRIME H410M-E,1216,FALSE,65,1,3,3,2
1240,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1216,FALSE,65,1,3,2,3
1241,MSI B450M BAZOOKA MAX WIFI,1216,FALSE,65,2,5,1,2
1242,Asus ROG MAXIMUS XIII HERO,1216,FALSE,65,2,5,3,2
1243,Asus TUF Gaming Z590-PLUS WIFI,1216,FALSE,65,1,5,3,1
1244,Asus TUF GAMING B560M-PLUS WIFI,1216,FALSE,65,1,5,2,2
1245,Asus TUF GAMING X570-PRO (WI-FI),1216,FALSE,65,1,5,2,2
1246,Asus ROG STRIX B550-I GAMING,1216,FALSE,65,1,2,3,1
1247,ASRock B550M Pro4,1216,FALSE,65,2,3,4,2
1248,MSI B450M PRO-VDH MAX,1216,FALSE,65,1,2,3,2
1249,MSI MAG B550M MORTAR WIFI,1216,FALSE,65,1,3,2,2
1250,Asus PRIME A320M-K,1216,FALSE,65,1,2,1,2
1251,Gigabyte B365M DS3H,1216,FALSE,65,2,2,2,1
1252,Asus PRIME B460M-A,1216,FALSE,65,1,2,4,1
1253,Gigabyte X570 I AORUS PRO WIFI,1216,FALSE,65,1,2,4,2
1254,Gigabyte Z490 VISION G,1216,FALSE,65,1,2,3,1
1255,MSI MPG X570 GAMING EDGE WIFI,1216,FALSE,65,1,1,3,3
1256,Gigabyte B550 AORUS ELITE AX V2,1216,FALSE,65,2,5,4,1
1257,Asus ROG STRIX B550-E GAMING,1216,FALSE,65,2,2,4,1
1258,MSI B460M PRO-VDH WIFI,1216,FALSE,65,1,3,4,1
1259,ASRock B450M-HDV R4.0,1216,FALSE,65,2,2,1,3
1260,Asus TUF GAMING B550-PLUS (WI-FI),1216,FALSE,65,2,2,4,1
